Old version on C18,                                             New version on XC8.10
lib_name,   c18_function_name,  arg,arg,            return @,   <new_lib_name>,     <function_nam>,     <is_arg=to_old_one>
timers,     OpenTimer2,         config,,            void @,     timers,         TMR2 register/MCC_Timer2_Start,       Oui
delays,     Delay10KTCYx,       count,,             void @,     delays,         __delay_ms/__delay_us,                Oui
spi,        OpenSPI,            mode,config,        void @,     spi,            SPI1_Open (MCC) / Registre,           Oui
spi,        CloseSPI,           ,,                  void @,     spi,            SPI1_Close (MCC)/Registre,            Oui
usart,      DataRdyUSART,       ,,                  uint8_t @,  usart,          EUSART1_DataReady (MCC)/Registre,     Oui
usart,      ReadUSART,          ,,                  uint8_t @,  usart,          EUSART1_Read (MCC)/Registre,          Oui
usart,      WriteUSART,         data,,              void @,     usart,          EUSART1_Write (MCC)/Registre,         Oui
usart,      OpenUSART,          config,baud_rate,   void @,     usart,          EUSART1_Initialize (MCC)/Registre,    Oui
usart,      CloseUSART,         none,,              void @,     usart,          EUSART1_Disable (MCC)/Registre,       Oui
delays,     Delay10TCYx,        count,,             void @,     delays,         __delay_us/__delay_ms,                Oui
spi,        WriteSPI,           data,,              void @,     spi,            SPI1_Exchange8bit (MCC)/Registre,     Oui
spi,        ReadSPI,            none,,              uint8_t @,  spi,            SPI1_Exchange8bit (MCC)/Registre,     Oui
